"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","MainBatt","","","","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C2,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C18,C24,C25,C27,C28,C29,C30,C33,C35,C36,C37,C39","26","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3,C6","2","2.2u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C17","1","4.7u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C19,C20,C21,C22,C23","5","22uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C26,C31,C38,C40","4","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C32","1","120n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C34","1","4.7uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D2,D3,D4,D5,D6,D7","7","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"IC1","1","E22-900M22S","","","","E22-900M22S:E22-900M22S",""
"INA_Rs1","1","1m","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"J1","1","ST-Link","","Excluído do BOM","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J2","1","Debug","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3","1","Servo2","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J4,J5,J6,J7","4","Servo1","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J8","1","Conn_Coaxial","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","~"
"J9","1","DM3AT-SF-PEJM5","","","","SD:DM3ATSFPEJM5","https://datasheet.lcsc.com/szlcsc/Hirose-HRS-DM3AT-SF-PEJM5_C114218.pdf"
