Pin,GPIO,Net/Signal,Function,Confidence
1,PE2,SPI4_SCK,SPI4 SD Card SCK,Medium
2,PE3,RADIO_BUSY,Radio GPIO Input,High
3,PE4,Extra_CS,Extra CS GPIO Output,High
4,PE5,SPI4_MISO,SPI4 SD Card MISO,Medium
5,PE6,SPI4_MOSI,SPI4 SD Card MOSI,Medium
6,VBAT,VBAT,Power,-
7,PC13,,,
8,PC14,,,
9,PC15,,,
10,PF0,I2CExtra_SDA,I2C2 SDA,High
11,PF1,I2CExtra_SCL,I2C2 SCL,High
12,PF2,RXEN,Radio RXEN GPIO Output,High
13,PF3,TXEN,Radio TXEN GPIO Output,High
14,PF4,RADIO_DIO1,Radio DIO1 GPIO Input,High
15,PF5,RADIO_DIO2,Radio DIO2 GPIO Input,High
16,VSS,VSS,Power,-
17,VDD,VDD,Power,-
18,PF6,RADIO_NRST,Radio Reset GPIO Output,High
19,PF7,,,
20,PF8,,,
21,PF9,,,
22,PF10,RADIO_CS,Radio CS GPIO Output,High
23,PH0,,,
24,PH1,,,
25,NRST,NRST,Reset,-
26,PC0,,,
27,PC1,,,
28,PC2_C,[ANALOG ONLY],ADC3_INP0 - nao usar para SPI,-
29,PC3_C,[ANALOG ONLY],ADC3_INP1 - nao usar para SPI,-
30,VDD,VDD,Power,-
31,VSSA,VSSA,Power,-
32,VREF+,VREF+,Analog Reference,-
33,VDDA,VDDA,Power,-
34,PA0,S4,Servo 4 PWM (TIM5_CH1 AF2),High
35,PA1,S5,Servo 5 PWM (TIM5_CH2 AF2),High
36,PA2,USART2_TX,GPS TX,High
37,PA3,USART2_RX,GPS RX,High
38,VSS,VSS,Power,-
39,VDD,VDD,Power,-
40,PA4,,,
41,PA5,SPI1_SCK,SPI1 IMU+Radio SCK (AF5),High
42,PA6,SPI1_MISO,SPI1 IMU+Radio MISO (AF5),High
43,PA7,SPI1_MOSI,SPI1 IMU+Radio MOSI (AF5),High
44,PC4,,,
45,PC5,,,
46,PB0,,,
47,PB1,ALT_CS,Barometer CS GPIO Output,High
48,PB2,,,
49,PF11,,,
50,PF12,,,
51,VSS,VSS,Power,-
52,VDD,VDD,Power,-
53,PF13,,,
54,PF14,,,
55,PF15,,,
56,PG0,,,
57,PG1,,,
58,PE7,,,
59,PE8,,,
60,PE9,,,
61,VSS,VSS,Power,-
62,VDD,VDD,Power,-
63,PE10,,,
64,PE11,S1,Servo 1 PWM (TIM1_CH2 AF1),High
65,PE12,,,
66,PE13,S2,Servo 2 PWM (TIM1_CH3 AF1),High
67,PE14,MAG_CS,Magnetometer CS GPIO Output,High
68,PE15,MAG_INTERRUPT,Magnetometer INT GPIO Input,High
69,PB10,SPI2_SCK,SPI2 Magnetometer SCK (AF5),Medium
70,PB11,,,
71,VCAP,VCAP,Power,-
72,VDD,VDD,Power,-
73,PB12,,,
74,PB13,SPI2_SCK_ALT,SPI2 SCK alternativa - verificar,Low
75,PB14,SPI2_MISO,SPI2 Magnetometer MISO (AF5),Medium
76,PB15,SPI2_MOSI,SPI2 Magnetometer MOSI (AF5),Medium
77,PD8,,,
78,PD9,,,
79,PD10,,,
80,PD11,,,
81,PD12,SD_CS,SD Card CS GPIO Output,High
82,PD13,,,
83,VSS,VSS,Power,-
84,VDD,VDD,Power,-
85,PD14,,,
86,PD15,PWM_ESC,ESC PWM (TIM4_CH4 AF2),Medium
87,PG2,,,
88,PG3,,,
89,PG4,,,
90,PG5,,,
91,PG6,,,
92,PG7,,,
93,PG8,,,
94,VSS,VSS,Power,-
95,VDD33_USB,VDD33_USB,Power,-
96,PC6,IMU_INTERRUPT,IMU INT GPIO Input,High
97,PC7,IMU_CS,IMU CS GPIO Output,High
98,PC8,,,
99,PC9,,,
100,PA8,,,
101,PA9,USART1_TX,Debug TX (AF7),High
102,PA10,USART1_RX,Debug RX (AF7),High
103,PA11,GPS_RESET_N,GPS Reset GPIO Output,High
104,PA12,GPS_INTERRUPT,GPS INT GPIO Input,High
105,PA13,SWDIO,SWD (AF0),High
106,VCAP,VCAP,Power,-
107,VSS,VSS,Power,-
108,VDD,VDD,Power,-
109,PA14,SWCLK,SWD (AF0),High
110,PA15,,,
111,PC10,SPI3_SCK,SPI3 Barometer SCK (AF6),Medium
112,PC11,SPI3_MISO,SPI3 Barometer MISO (AF6),Medium
113,PC12,SPI3_MOSI,SPI3 Barometer MOSI (AF6),Medium
114,PD0,,,
115,PD1,,,
116,PD2,,,
117,PD3,,,
118,PD4,,,
119,PD5,,,
120,VSS,VSS,Power,-
121,VDD,VDD,Power,-
122,PD6,,,
123,PD7,,,
124,PG9,,,
125,PG10,,,
126,PG11,,,
127,PG12,,,
128,PG13,,,
129,PG14,,,
130,VSS,VSS,Power,-
131,VDD,VDD,Power,-
132,PG15,,,
133,PB3,,,
134,PB4,,,
135,PB5,,,
136,PB6,I2C_SCL,I2C1 SCL BNO055+INA219 (AF4),Medium
137,PB7,I2C_SDA,I2C1 SDA BNO055+INA219 (AF4),Medium
138,BOOT0,BOOT0,Boot,-
139,PB8,,,
140,PB9,,,
141,PE0,,,
142,PE1,,,
143,PDR_ON,PDR_ON,Power,-
144,VDD,VDD,Power,-
